Author Name,Content,Date,Rating,Photos
"O'Shea Read (Associate Producer, ""I Melt With You"")","I cannot say enough great things about EZQuest drives. After years of buggy unreliable drives, I have finally found a company/Drive that is not only reliable, but fast! We recently wrapped shooting on the feature ""I Melt With You"", cutting on Final Cut, and using the EZQuest Studio V for all of our editorial storage. Every day we shot with at least 4 cameras on an 18 day shoot... So you can only imagine the amount of media. Using the Studio V gave me the confidence that our media was safe and secure. We couldn't have finished the film without them.",,5,
"Skip Longfellow (First Assistant Sound Editor - Moulin Rouge, X-Men, Max Payne, Tropic Thunder, The A-Team)","You generously let us test the 1TB Thunder Pro drive for a month. We put it through rigorous tests, asking it to play back the most demanding ProTools session we have generated to date - 203 tracks, in excess of the 192 tracks ProTools allows to be voiced at a single time, with hundreds of edits. Only the most robust systems can even attempt to play it back without interruption. By reducing the voice count to 144 tracks, the drive played back all voiced tracks, sometimes for several minutes across complicated re-edited sections - no small feat, especially with both audio and video forced down a single FireWire 800 cable. An FX editor in our shop and a MX editor on the film I'm currently working on have since purchased several of these drives as a direct result. Please accept our thanks for allowing us time to test the drive.",2009-12-15,5,
